0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.010349	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.011669	0.008479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.016405	0.017950	0.024777	0.031665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.033623	0.050339	0.052267	0.093994	0.116072	0.138642	0.163152	0.000000	0.000000	0.000000	0.000000	0.000000	
0.094488	0.169080	0.249007	0.324097	0.404266	0.475677	0.571996	0.652071	0.000000	0.000000	0.000000	0.000000	
0.331581	0.629358	0.925388	1.234536	1.549614	1.849308	2.166251	2.491434	2.809646	0.000000	0.000000	0.000000	
1.261436	2.508031	3.638791	4.966160	6.186386	7.523493	8.669880	10.782620	10.300970	12.397371	0.000000	0.000000	
5.643456	10.770902	14.457340	19.587838	24.176676	28.716957	33.386054	39.507815	42.583671	47.607830	52.988217	0.000000	
